products pairs;sales num;support
('whole milk', 'chewing gum');50;0.0051
('whole milk', 'detergent');88;0.0089
('whole milk', 'red/blush wine');39;0.004
('whole milk', 'white wine');26;0.0026
('whole milk', 'pickled vegetables');70;0.0071
('whole milk', 'baking powder');91;0.0093
('whole milk', 'semi-finished bread');70;0.0071
('whole milk', 'dishes');52;0.0053
('whole milk', 'flour');83;0.0084
('whole milk', 'potted plants');68;0.0069
('whole milk', 'soft cheese');74;0.0075
('whole milk', 'processed cheese');69;0.007
('whole milk', 'herbs');76;0.0077
('whole milk', 'pasta');60;0.0061
('whole milk', 'canned fish');47;0.0048
('whole milk', 'seasonal products');37;0.0038
('whole milk', 'cake bar');55;0.0056
('whole milk', 'packaged fruit/vegetables');39;0.004
('whole milk', 'mustard');51;0.0052
('whole milk', 'frozen fish');49;0.005
('whole milk', 'cling film/bags');36;0.0037
('whole milk', 'spread cheese');31;0.0032
('whole milk', 'liquor');6;0.0006
('whole milk', 'salt');38;0.0039
('whole milk', 'frozen dessert');39;0.004
('whole milk', 'canned vegetables');38;0.0039
('whole milk', 'dish cleaner');29;0.0029
('whole milk', 'flower (seeds)');39;0.004
('whole milk', 'roll products');46;0.0047
('whole milk', 'condensed milk');24;0.0024
('whole milk', 'pet care');26;0.0026
('whole milk', 'photo/film');23;0.0023
('whole milk', 'mayonnaise');33;0.0034
('whole milk', 'chocolate marshmallow');31;0.0032
('whole milk', 'sweet spreads');35;0.0036
('whole milk', 'candles');30;0.0031
('whole milk', 'specialty cheese');37;0.0038
('whole milk', 'dog food');29;0.0029
('whole milk', 'frozen potato products');34;0.0035
('whole milk', 'house keeping products');38;0.0039
('whole milk', 'turkey');36;0.0037
('whole milk', 'Instant food products');30;0.0031
('whole milk', 'liquor (appetizer)');16;0.0016
('whole milk', 'rice');46;0.0047
('whole milk', 'instant coffee');22;0.0022
('whole milk', 'popcorn');26;0.0026
('whole milk', 'zwieback');17;0.0017
('whole milk', 'soups');29;0.0029
('whole milk', 'finished products');14;0.0014
('whole milk', 'vinegar');26;0.0026
('whole milk', 'female sanitary products');20;0.002
('whole milk', 'kitchen towels');27;0.0027
('whole milk', 'dental care');18;0.0018
('whole milk', 'cereals');36;0.0037
('whole milk', 'sparkling wine');10;0.001
('whole milk', 'sauces');21;0.0021
('whole milk', 'softener');21;0.0021
('whole milk', 'jam');29;0.0029
('whole milk', 'spices');14;0.0014
('whole milk', 'curd cheese');23;0.0023
('whole milk', 'liver loaf');21;0.0021
('whole milk', 'cleaner');23;0.0023
('whole milk', 'male cosmetics');8;0.0008
('whole milk', 'rum');17;0.0017
('whole milk', 'ketchup');15;0.0015
('whole milk', 'meat spreads');13;0.0013
('whole milk', 'brandy');5;0.0005
('whole milk', 'light bulbs');9;0.0009
('whole milk', 'tea');16;0.0016
('whole milk', 'specialty fat');12;0.0012
('whole milk', 'abrasive cleaner');16;0.0016
('whole milk', 'skin care');16;0.0016
('whole milk', 'nuts/prunes');12;0.0012
('whole milk', 'syrup');9;0.0009
('whole milk', 'canned fruit');13;0.0013
('whole milk', 'artif. sweetener');11;0.0011
('whole milk', 'nut snack');5;0.0005
('whole milk', 'snack products');8;0.0008
('whole milk', 'fish');9;0.0009
('whole milk', 'potato products');12;0.0012
('whole milk', 'bathroom cleaner');6;0.0006
('whole milk', 'cookware');4;0.0004
('whole milk', 'soap');11;0.0011
('whole milk', 'cooking chocolate');13;0.0013
('whole milk', 'pudding powder');13;0.0013
('whole milk', 'tidbits');9;0.0009
('whole milk', 'organic sausage');9;0.0009
('whole milk', 'cocoa drinks');13;0.0013
('whole milk', 'prosecco');5;0.0005
('whole milk', 'flower soil/fertilizer');2;0.0002
('whole milk', 'ready soups');8;0.0008
('whole milk', 'specialty vegetables');3;0.0003
('whole milk', 'organic products');4;0.0004
('whole milk', 'honey');11;0.0011
('whole milk', 'decalcifier');7;0.0007
('whole milk', 'cream');4;0.0004
('whole milk', 'frozen fruits');3;0.0003
('whole milk', 'hair spray');3;0.0003
('whole milk', 'rubbing alcohol');6;0.0006
('whole milk', 'liqueur');2;0.0002
('whole milk', 'whisky');1;0.0001
('whole milk', 'salad dressing');1;0.0001
('whole milk', 'make up remover');2;0.0002
('whole milk', 'toilet cleaner');2;0.0002
('whole milk', 'frozen chicken');2;0.0002
('whole milk', 'baby cosmetics');3;0.0003
('whole milk', 'bags');1;0.0001
('whole milk', 'kitchen utensil');3;0.0003
('whole milk', 'preservation products');1;0.0001
('whole milk', 'baby food');0;0.0
('whole milk', 'sound storage medium');0;0.0
('other vegetables', 'rolls/buns');419;0.0426
('other vegetables', 'soda');322;0.0327
('other vegetables', 'yogurt');427;0.0434
('other vegetables', 'bottled water');244;0.0248
('other vegetables', 'root vegetables');466;0.0474
('other vegetables', 'tropical fruit');353;0.0359
('other vegetables', 'shopping bags');228;0.0232
('other vegetables', 'sausage');265;0.0269
('other vegetables', 'pastry');222;0.0226
('other vegetables', 'citrus fruit');284;0.0289
('other vegetables', 'bottled beer');159;0.0162
('other vegetables', 'newspapers');190;0.0193
('other vegetables', 'canned beer');89;0.009
('other vegetables', 'pip fruit');257;0.0261
('other vegetables', 'fruit/vegetable juice');207;0.021
('other vegetables', 'whipped/sour cream');284;0.0289
('other vegetables', 'brown bread');184;0.0187
('other vegetables', 'domestic eggs');219;0.0223
('other vegetables', 'frankfurter');162;0.0165
('other vegetables', 'margarine');194;0.0197
('other vegetables', 'coffee');132;0.0134
('other vegetables', 'pork');213;0.0217
('other vegetables', 'butter');197;0.02
('other vegetables', 'curd');169;0.0172
('other vegetables', 'beef');194;0.0197
('other vegetables', 'napkins');142;0.0144
('other vegetables', 'chocolate');125;0.0127
('other vegetables', 'frozen vegetables');175;0.0178
('other vegetables', 'chicken');176;0.0179
('other vegetables', 'white bread');135;0.0137
('other vegetables', 'cream cheese');135;0.0137
('other vegetables', 'waffles');99;0.0101
('other vegetables', 'salty snack');106;0.0108
('other vegetables', 'long life bakery product');105;0.0107
('other vegetables', 'dessert');114;0.0116
('other vegetables', 'sugar');106;0.0108
('other vegetables', 'UHT-milk');80;0.0081
('other vegetables', 'berries');101;0.0103
('other vegetables', 'hamburger meat');136;0.0138
('other vegetables', 'hygiene articles');94;0.0096
('other vegetables', 'onions');140;0.0142
('other vegetables', 'specialty chocolate');60;0.0061
('other vegetables', 'candy');68;0.0069
('other vegetables', 'frozen meals');74;0.0075
('other vegetables', 'misc. beverages');55;0.0056
('other vegetables', 'oil');98;0.01
('other vegetables', 'butter milk');102;0.0104
('other vegetables', 'specialty bar');55;0.0056
('other vegetables', 'ham');90;0.0092
('other vegetables', 'beverages');51;0.0052
('other vegetables', 'meat');98;0.01
('other vegetables', 'ice cream');50;0.0051
('other vegetables', 'hard cheese');93;0.0095
('other vegetables', 'sliced cheese');89;0.009
('other vegetables', 'cat food');64;0.0065
('other vegetables', 'grapes');89;0.009
('other vegetables', 'chewing gum');45;0.0046
('other vegetables', 'detergent');63;0.0064
('other vegetables', 'red/blush wine');49;0.005
('other vegetables', 'white wine');22;0.0022
('other vegetables', 'pickled vegetables');63;0.0064
('other vegetables', 'baking powder');72;0.0073
('other vegetables', 'semi-finished bread');51;0.0052
('other vegetables', 'dishes');59;0.006
('other vegetables', 'flour');62;0.0063
('other vegetables', 'potted plants');43;0.0044
('other vegetables', 'soft cheese');70;0.0071
('other vegetables', 'processed cheese');54;0.0055
('other vegetables', 'herbs');76;0.0077
('other vegetables', 'pasta');42;0.0043
('other vegetables', 'canned fish');50;0.0051
('other vegetables', 'seasonal products');36;0.0037
('other vegetables', 'cake bar');37;0.0038
('other vegetables', 'packaged fruit/vegetables');31;0.0032
('other vegetables', 'mustard');32;0.0033
('other vegetables', 'frozen fish');46;0.0047
('other vegetables', 'cling film/bags');32;0.0033
('other vegetables', 'spread cheese');30;0.0031
('other vegetables', 'liquor');13;0.0013
('other vegetables', 'salt');36;0.0037
('other vegetables', 'frozen dessert');36;0.0037
('other vegetables', 'canned vegetables');46;0.0047
('other vegetables', 'dish cleaner');23;0.0023
('other vegetables', 'flower (seeds)');37;0.0038
('other vegetables', 'roll products');47;0.0048
('other vegetables', 'condensed milk');25;0.0025
('other vegetables', 'pet care');19;0.0019
('other vegetables', 'photo/film');11;0.0011
('other vegetables', 'mayonnaise');35;0.0036
('other vegetables', 'chocolate marshmallow');20;0.002
('other vegetables', 'sweet spreads');24;0.0024
('other vegetables', 'candles');23;0.0023
('other vegetables', 'specialty cheese');42;0.0043
('other vegetables', 'dog food');22;0.0022
('other vegetables', 'frozen potato products');26;0.0026
('other vegetables', 'house keeping products');27;0.0027
('other vegetables', 'turkey');39;0.004
('other vegetables', 'Instant food products');27;0.0027
('other vegetables', 'liquor (appetizer)');14;0.0014
('other vegetables', 'rice');39;0.004
('other vegetables', 'instant coffee');19;0.0019
('other vegetables', 'popcorn');16;0.0016
('other vegetables', 'zwieback');17;0.0017
('other vegetables', 'soups');31;0.0032
('other vegetables', 'finished products');20;0.002
('other vegetables', 'vinegar');24;0.0024
('other vegetables', 'female sanitary products');14;0.0014
('other vegetables', 'kitchen towels');22;0.0022
('other vegetables', 'dental care');20;0.002
('other vegetables', 'cereals');20;0.002
('other vegetables', 'sparkling wine');15;0.0015
('other vegetables', 'sauces');15;0.0015
('other vegetables', 'softener');16;0.0016
('other vegetables', 'jam');18;0.0018
('other vegetables', 'spices');19;0.0019
('other vegetables', 'curd cheese');21;0.0021
('other vegetables', 'liver loaf');15;0.0015
('other vegetables', 'cleaner');16;0.0016
('other vegetables', 'male cosmetics');8;0.0008
('other vegetables', 'rum');15;0.0015
('other vegetables', 'ketchup');15;0.0015
('other vegetables', 'meat spreads');9;0.0009
('other vegetables', 'brandy');6;0.0006
('other vegetables', 'light bulbs');13;0.0013
('other vegetables', 'tea');15;0.0015
('other vegetables', 'specialty fat');11;0.0011
('other vegetables', 'abrasive cleaner');16;0.0016
('other vegetables', 'skin care');12;0.0012
('other vegetables', 'nuts/prunes');9;0.0009
('other vegetables', 'syrup');11;0.0011
('other vegetables', 'canned fruit');11;0.0011
('other vegetables', 'artif. sweetener');10;0.001
('other vegetables', 'nut snack');8;0.0008
('other vegetables', 'snack products');9;0.0009
('other vegetables', 'fish');7;0.0007
('other vegetables', 'potato products');8;0.0008
('other vegetables', 'bathroom cleaner');10;0.001
('other vegetables', 'cookware');5;0.0005
('other vegetables', 'soap');5;0.0005
('other vegetables', 'cooking chocolate');7;0.0007
('other vegetables', 'pudding powder');8;0.0008
('other vegetables', 'tidbits');4;0.0004
('other vegetables', 'organic sausage');5;0.0005
('other vegetables', 'cocoa drinks');5;0.0005
('other vegetables', 'prosecco');3;0.0003
('other vegetables', 'flower soil/fertilizer');2;0.0002
('other vegetables', 'ready soups');6;0.0006
('other vegetables', 'specialty vegetables');7;0.0007
('other vegetables', 'organic products');6;0.0006
('other vegetables', 'honey');3;0.0003
('other vegetables', 'decalcifier');5;0.0005
('other vegetables', 'cream');7;0.0007
('other vegetables', 'frozen fruits');8;0.0008
('other vegetables', 'hair spray');2;0.0002
('other vegetables', 'rubbing alcohol');4;0.0004
('other vegetables', 'liqueur');1;0.0001
('other vegetables', 'whisky');2;0.0002
('other vegetables', 'salad dressing');5;0.0005
('other vegetables', 'make up remover');1;0.0001
('other vegetables', 'toilet cleaner');2;0.0002
('other vegetables', 'frozen chicken');0;0.0
('other vegetables', 'baby cosmetics');1;0.0001
('other vegetables', 'bags');0;0.0
('other vegetables', 'kitchen utensil');1;0.0001
('other vegetables', 'preservation products');1;0.0001
('other vegetables', 'baby food');1;0.0001
('other vegetables', 'sound storage medium');0;0.0
('rolls/buns', 'soda');377;0.0383
('rolls/buns', 'yogurt');338;0.0344
('rolls/buns', 'bottled water');238;0.0242
('rolls/buns', 'root vegetables');239;0.0243
('rolls/buns', 'tropical fruit');242;0.0246
('rolls/buns', 'shopping bags');192;0.0195
('rolls/buns', 'sausage');301;0.0306
('rolls/buns', 'pastry');206;0.0209
('rolls/buns', 'citrus fruit');165;0.0168
('rolls/buns', 'bottled beer');134;0.0136
('rolls/buns', 'newspapers');194;0.0197
('rolls/buns', 'canned beer');111;0.0113
('rolls/buns', 'pip fruit');137;0.0139
('rolls/buns', 'fruit/vegetable juice');143;0.0145
('rolls/buns', 'whipped/sour cream');144;0.0146
('rolls/buns', 'brown bread');124;0.0126
('rolls/buns', 'domestic eggs');154;0.0157
('rolls/buns', 'frankfurter');189;0.0192
('rolls/buns', 'margarine');145;0.0147
('rolls/buns', 'coffee');108;0.011
('rolls/buns', 'pork');111;0.0113
('rolls/buns', 'butter');132;0.0134
('rolls/buns', 'curd');99;0.0101
('rolls/buns', 'beef');134;0.0136
('rolls/buns', 'napkins');115;0.0117
('rolls/buns', 'chocolate');116;0.0118
('rolls/buns', 'frozen vegetables');100;0.0102
('rolls/buns', 'chicken');95;0.0097
('rolls/buns', 'white bread');64;0.0065
('rolls/buns', 'cream cheese');98;0.01
('rolls/buns', 'waffles');90;0.0092
('rolls/buns', 'salty snack');49;0.005
('rolls/buns', 'long life bakery product');78;0.0079
('rolls/buns', 'dessert');67;0.0068
('rolls/buns', 'sugar');69;0.007
('rolls/buns', 'UHT-milk');63;0.0064
('rolls/buns', 'berries');65;0.0066
('rolls/buns', 'hamburger meat');85;0.0086
('rolls/buns', 'hygiene articles');58;0.0059
('rolls/buns', 'onions');67;0.0068
('rolls/buns', 'specialty chocolate');55;0.0056
('rolls/buns', 'candy');70;0.0071
('rolls/buns', 'frozen meals');48;0.0049
('rolls/buns', 'misc. beverages');46;0.0047
('rolls/buns', 'oil');50;0.0051
('rolls/buns', 'butter milk');75;0.0076
('rolls/buns', 'specialty bar');55;0.0056
('rolls/buns', 'ham');68;0.0069
('rolls/buns', 'beverages');53;0.0054
('rolls/buns', 'meat');68;0.0069
('rolls/buns', 'ice cream');33;0.0034
('rolls/buns', 'hard cheese');58;0.0059
('rolls/buns', 'sliced cheese');75;0.0076
('rolls/buns', 'cat food');39;0.004
('rolls/buns', 'grapes');47;0.0048
('rolls/buns', 'chewing gum');38;0.0039
('rolls/buns', 'detergent');30;0.0031
('rolls/buns', 'red/blush wine');39;0.004
('rolls/buns', 'white wine');26;0.0026
('rolls/buns', 'pickled vegetables');42;0.0043
('rolls/buns', 'baking powder');35;0.0036
('rolls/buns', 'semi-finished bread');34;0.0035
('rolls/buns', 'dishes');32;0.0033
('rolls/buns', 'flour');37;0.0038
('rolls/buns', 'potted plants');28;0.0028
('rolls/buns', 'soft cheese');53;0.0054
('rolls/buns', 'processed cheese');46;0.0047
('rolls/buns', 'herbs');30;0.0031
('rolls/buns', 'pasta');24;0.0024
('rolls/buns', 'canned fish');40;0.0041
('rolls/buns', 'seasonal products');27;0.0027
('rolls/buns', 'cake bar');31;0.0032
('rolls/buns', 'packaged fruit/vegetables');26;0.0026
('rolls/buns', 'mustard');42;0.0043
('rolls/buns', 'frozen fish');24;0.0024
('rolls/buns', 'cling film/bags');19;0.0019
('rolls/buns', 'spread cheese');41;0.0042
('rolls/buns', 'liquor');11;0.0011
('rolls/buns', 'salt');21;0.0021
('rolls/buns', 'frozen dessert');29;0.0029
('rolls/buns', 'canned vegetables');21;0.0021
('rolls/buns', 'dish cleaner');22;0.0022
('rolls/buns', 'flower (seeds)');18;0.0018
('rolls/buns', 'roll products');21;0.0021
('rolls/buns', 'condensed milk');22;0.0022
('rolls/buns', 'pet care');9;0.0009
('rolls/buns', 'photo/film');11;0.0011
('rolls/buns', 'mayonnaise');27;0.0027
('rolls/buns', 'chocolate marshmallow');22;0.0022
('rolls/buns', 'sweet spreads');16;0.0016
('rolls/buns', 'candles');13;0.0013
('rolls/buns', 'specialty cheese');11;0.0011
('rolls/buns', 'dog food');13;0.0013
('rolls/buns', 'frozen potato products');20;0.002
('rolls/buns', 'house keeping products');17;0.0017
('rolls/buns', 'turkey');19;0.0019
('rolls/buns', 'Instant food products');23;0.0023
('rolls/buns', 'liquor (appetizer)');9;0.0009
('rolls/buns', 'rice');15;0.0015
('rolls/buns', 'instant coffee');18;0.0018
('rolls/buns', 'popcorn');11;0.0011
('rolls/buns', 'zwieback');14;0.0014
('rolls/buns', 'soups');13;0.0013
('rolls/buns', 'finished products');9;0.0009
('rolls/buns', 'vinegar');16;0.0016
('rolls/buns', 'female sanitary products');16;0.0016
('rolls/buns', 'kitchen towels');12;0.0012
('rolls/buns', 'dental care');14;0.0014
('rolls/buns', 'cereals');11;0.0011
('rolls/buns', 'sparkling wine');6;0.0006
('rolls/buns', 'sauces');8;0.0008
('rolls/buns', 'softener');9;0.0009
('rolls/buns', 'jam');13;0.0013
('rolls/buns', 'spices');11;0.0011
('rolls/buns', 'curd cheese');16;0.0016
('rolls/buns', 'liver loaf');15;0.0015
('rolls/buns', 'cleaner');7;0.0007
('rolls/buns', 'male cosmetics');7;0.0007
('rolls/buns', 'rum');9;0.0009
('rolls/buns', 'ketchup');5;0.0005
('rolls/buns', 'meat spreads');13;0.0013
('rolls/buns', 'brandy');11;0.0011
('rolls/buns', 'light bulbs');7;0.0007
('rolls/buns', 'tea');11;0.0011
('rolls/buns', 'specialty fat');7;0.0007
('rolls/buns', 'abrasive cleaner');5;0.0005
('rolls/buns', 'skin care');14;0.0014
('rolls/buns', 'nuts/prunes');10;0.001
('rolls/buns', 'syrup');6;0.0006
('rolls/buns', 'canned fruit');6;0.0006
('rolls/buns', 'artif. sweetener');7;0.0007
('rolls/buns', 'nut snack');6;0.0006
('rolls/buns', 'snack products');11;0.0011
('rolls/buns', 'fish');3;0.0003
('rolls/buns', 'potato products');6;0.0006
('rolls/buns', 'bathroom cleaner');6;0.0006
('rolls/buns', 'cookware');6;0.0006
('rolls/buns', 'soap');6;0.0006
('rolls/buns', 'cooking chocolate');6;0.0006
('rolls/buns', 'pudding powder');2;0.0002
('rolls/buns', 'tidbits');12;0.0012
('rolls/buns', 'organic sausage');5;0.0005
('rolls/buns', 'cocoa drinks');5;0.0005
('rolls/buns', 'prosecco');5;0.0005
('rolls/buns', 'flower soil/fertilizer');2;0.0002
('rolls/buns', 'ready soups');9;0.0009
('rolls/buns', 'specialty vegetables');2;0.0002
('rolls/buns', 'organic products');4;0.0004
('rolls/buns', 'honey');4;0.0004
('rolls/buns', 'decalcifier');3;0.0003
('rolls/buns', 'cream');1;0.0001
('rolls/buns', 'frozen fruits');2;0.0002
('rolls/buns', 'hair spray');2;0.0002
('rolls/buns', 'rubbing alcohol');1;0.0001
('rolls/buns', 'liqueur');3;0.0003
('rolls/buns', 'whisky');2;0.0002
('rolls/buns', 'salad dressing');1;0.0001
('rolls/buns', 'make up remover');2;0.0002
('rolls/buns', 'toilet cleaner');0;0.0
('rolls/buns', 'frozen chicken');1;0.0001
('rolls/buns', 'baby cosmetics');2;0.0002
('rolls/buns', 'bags');1;0.0001
('rolls/buns', 'kitchen utensil');1;0.0001
('rolls/buns', 'preservation products');0;0.0
('rolls/buns', 'baby food');1;0.0001
('rolls/buns', 'sound storage medium');0;0.0
('soda', 'yogurt');269;0.0274
('soda', 'bottled water');285;0.029
('soda', 'root vegetables');183;0.0186
('soda', 'tropical fruit');205;0.0208
('soda', 'shopping bags');242;0.0246
('soda', 'sausage');239;0.0243
('soda', 'pastry');207;0.021
('soda', 'citrus fruit');126;0.0128
('soda', 'bottled beer');167;0.017
('soda', 'newspapers');144;0.0146
('soda', 'canned beer');136;0.0138
('soda', 'pip fruit');131;0.0133
('soda', 'fruit/vegetable juice');181;0.0184
('soda', 'whipped/sour cream');114;0.0116
('soda', 'brown bread');124;0.0126
('soda', 'domestic eggs');122;0.0124
('soda', 'frankfurter');111;0.0113
('soda', 'margarine');100;0.0102
('soda', 'coffee');98;0.01
('soda', 'pork');117;0.0119
('soda', 'butter');87;0.0088
('soda', 'curd');80;0.0081
('soda', 'beef');80;0.0081
('soda', 'napkins');118;0.012
('soda', 'chocolate');133;0.0135
('soda', 'frozen vegetables');85;0.0086
('soda', 'chicken');82;0.0083
('soda', 'white bread');101;0.0103
('soda', 'cream cheese');67;0.0068
('soda', 'waffles');94;0.0096
('soda', 'salty snack');92;0.0094
('soda', 'long life bakery product');75;0.0076
('soda', 'dessert');97;0.0099
('soda', 'sugar');72;0.0073
('soda', 'UHT-milk');75;0.0076
('soda', 'berries');72;0.0073
('soda', 'hamburger meat');57;0.0058
('soda', 'hygiene articles');69;0.007
('soda', 'onions');52;0.0053
('soda', 'specialty chocolate');62;0.0063
('soda', 'candy');85;0.0086
('soda', 'frozen meals');61;0.0062
('soda', 'misc. beverages');72;0.0073
('soda', 'oil');46;0.0047
('soda', 'butter milk');45;0.0046
('soda', 'specialty bar');71;0.0072
('soda', 'ham');49;0.005
('soda', 'beverages');47;0.0048
('soda', 'meat');54;0.0055
('soda', 'ice cream');60;0.0061
('soda', 'hard cheese');40;0.0041
('soda', 'sliced cheese');50;0.0051
('soda', 'cat food');45;0.0046
('soda', 'grapes');40;0.0041
('soda', 'chewing gum');53;0.0054
('soda', 'detergent');34;0.0035
('soda', 'red/blush wine');45;0.0046
('soda', 'white wine');36;0.0037
('soda', 'pickled vegetables');40;0.0041
('soda', 'baking powder');23;0.0023
('soda', 'semi-finished bread');40;0.0041
('soda', 'dishes');21;0.0021
('soda', 'flour');28;0.0028
('soda', 'potted plants');27;0.0027
('soda', 'soft cheese');27;0.0027
('soda', 'processed cheese');52;0.0053
('soda', 'herbs');19;0.0019
('soda', 'pasta');40;0.0041
('soda', 'canned fish');29;0.0029
('soda', 'seasonal products');26;0.0026
('soda', 'cake bar');44;0.0045
('soda', 'packaged fruit/vegetables');21;0.0021
('soda', 'mustard');23;0.0023
('soda', 'frozen fish');12;0.0012
('soda', 'cling film/bags');23;0.0023
('soda', 'spread cheese');31;0.0032
('soda', 'liquor');21;0.0021
('soda', 'salt');16;0.0016
('soda', 'frozen dessert');25;0.0025
('soda', 'canned vegetables');30;0.0031
('soda', 'dish cleaner');24;0.0024
('soda', 'flower (seeds)');16;0.0016
('soda', 'roll products');16;0.0016
('soda', 'condensed milk');21;0.0021
('soda', 'pet care');21;0.0021
('soda', 'photo/film');11;0.0011
('soda', 'mayonnaise');24;0.0024
('soda', 'chocolate marshmallow');24;0.0024
('soda', 'sweet spreads');25;0.0025
('soda', 'candles');12;0.0012
('soda', 'specialty cheese');14;0.0014
('soda', 'dog food');18;0.0018
('soda', 'frozen potato products');27;0.0027
('soda', 'house keeping products');17;0.0017
('soda', 'turkey');12;0.0012
('soda', 'Instant food products');19;0.0019
('soda', 'liquor (appetizer)');24;0.0024
('soda', 'rice');11;0.0011
('soda', 'instant coffee');24;0.0024
('soda', 'popcorn');19;0.0019
('soda', 'zwieback');11;0.0011
('soda', 'soups');12;0.0012
('soda', 'finished products');17;0.0017
('soda', 'vinegar');9;0.0009
('soda', 'female sanitary products');14;0.0014
('soda', 'kitchen towels');12;0.0012
('soda', 'dental care');11;0.0011
('soda', 'cereals');10;0.001
('soda', 'sparkling wine');9;0.0009
('soda', 'sauces');10;0.001
('soda', 'softener');11;0.0011
('soda', 'jam');13;0.0013
('soda', 'spices');7;0.0007
('soda', 'curd cheese');4;0.0004
('soda', 'liver loaf');11;0.0011
('soda', 'cleaner');11;0.0011
('soda', 'male cosmetics');9;0.0009
('soda', 'rum');8;0.0008
('soda', 'ketchup');13;0.0013
('soda', 'meat spreads');14;0.0014
('soda', 'brandy');7;0.0007
('soda', 'light bulbs');8;0.0008
('soda', 'tea');3;0.0003
('soda', 'specialty fat');4;0.0004
('soda', 'abrasive cleaner');6;0.0006
('soda', 'skin care');7;0.0007
('soda', 'nuts/prunes');8;0.0008
('soda', 'syrup');9;0.0009
('soda', 'canned fruit');6;0.0006
('soda', 'artif. sweetener');6;0.0006
('soda', 'nut snack');10;0.001
('soda', 'snack products');11;0.0011
('soda', 'fish');3;0.0003
('soda', 'potato products');8;0.0008
('soda', 'bathroom cleaner');10;0.001
('soda', 'cookware');6;0.0006
('soda', 'soap');8;0.0008
('soda', 'cooking chocolate');3;0.0003
('soda', 'pudding powder');3;0.0003
('soda', 'tidbits');10;0.001
('soda', 'organic sausage');4;0.0004
('soda', 'cocoa drinks');2;0.0002
('soda', 'prosecco');5;0.0005
('soda', 'flower soil/fertilizer');2;0.0002
('soda', 'ready soups');6;0.0006
('soda', 'specialty vegetables');7;0.0007
('soda', 'organic products');5;0.0005
('soda', 'honey');1;0.0001
('soda', 'decalcifier');2;0.0002
('soda', 'cream');3;0.0003
('soda', 'frozen fruits');3;0.0003
('soda', 'hair spray');1;0.0001
('soda', 'rubbing alcohol');1;0.0001
('soda', 'liqueur');1;0.0001
('soda', 'whisky');0;0.0
('soda', 'salad dressing');2;0.0002
('soda', 'make up remover');4;0.0004
('soda', 'toilet cleaner');1;0.0001
('soda', 'frozen chicken');1;0.0001
('soda', 'baby cosmetics');2;0.0002
('soda', 'bags');0;0.0
('soda', 'kitchen utensil');1;0.0001
('soda', 'preservation products');0;0.0
('soda', 'baby food');0;0.0
('soda', 'sound storage medium');1;0.0001
('yogurt', 'bottled water');226;0.023
('yogurt', 'root vegetables');254;0.0258
('yogurt', 'tropical fruit');288;0.0293
('yogurt', 'shopping bags');150;0.0153
('yogurt', 'sausage');193;0.0196
('yogurt', 'pastry');174;0.0177
('yogurt', 'citrus fruit');213;0.0217
('yogurt', 'bottled beer');91;0.0093
('yogurt', 'newspapers');151;0.0154
('yogurt', 'canned beer');53;0.0054
('yogurt', 'pip fruit');177;0.018
('yogurt', 'fruit/vegetable juice');184;0.0187
